Alpha,Gamma,SuccessRate,Last20RedLightViolations,Last20PlannerNoncompliance
0.00,0.00,2,1.00,0.50
0.00,0.10,2,0.60,0.70
0.00,0.20,2,0.60,0.70
0.00,0.30,2,0.80,1.00
0.00,0.40,1,1.10,0.60
0.00,0.50,1,1.00,1.10
0.00,0.60,1,0.60,0.40
0.00,0.70,1,1.70,0.50
0.00,0.80,1,1.90,0.70
0.00,0.90,1,0.90,1.10
0.00,1.00,1,0.90,0.50
0.10,0.00,91,0.50,0.40
0.10,0.10,94,0.70,1.30
0.10,0.20,93,1.20,2.00
0.10,0.30,93,0.60,2.80
0.10,0.40,93,1.40,4.80
0.10,0.50,93,1.50,4.30
0.10,0.60,91,1.90,16.00
0.10,0.70,91,1.40,8.20
0.10,0.80,94,1.80,4.80
0.10,0.90,88,2.20,21.50
0.10,1.00,93,1.90,8.00
0.20,0.00,93,0.60,0.70
0.20,0.10,90,1.10,6.10
0.20,0.20,92,1.90,10.90
0.20,0.30,94,1.60,5.20
0.20,0.40,93,1.50,10.90
0.20,0.50,90,0.80,37.20
0.20,0.60,89,1.20,18.90
0.20,0.70,84,1.60,41.20
0.20,0.80,90,1.30,23.50
0.20,0.90,90,1.10,31.00
0.20,1.00,90,1.50,44.20
0.30,0.00,91,0.50,0.60
0.30,0.10,94,1.70,3.00
0.30,0.20,92,1.40,3.00
0.30,0.30,81,1.90,47.00
0.30,0.40,91,1.30,20.50
0.30,0.50,86,0.70,28.70
0.30,0.60,86,1.20,35.30
0.30,0.70,82,0.90,48.30
0.30,0.80,83,0.90,65.20
0.30,0.90,83,1.60,39.20
0.30,1.00,90,12.90,25.30
0.40,0.00,91,0.50,0.30
0.40,0.10,90,0.40,9.40
0.40,0.20,93,0.70,5.50
0.40,0.30,90,0.80,11.30
0.40,0.40,89,1.10,24.50
0.40,0.50,80,1.30,57.00
0.40,0.60,91,3.20,30.60
0.40,0.70,88,14.10,50.90
0.40,0.80,78,1.20,60.80
0.40,0.90,77,2.20,69.90
0.40,1.00,65,32.00,98.20
0.50,0.00,92,0.30,1.10
0.50,0.10,92,1.50,3.00
0.50,0.20,90,0.90,23.60
0.50,0.30,89,1.90,21.60
0.50,0.40,87,2.10,38.20
0.50,0.50,82,1.00,45.90
0.50,0.60,69,12.90,74.90
0.50,0.70,82,11.10,70.40
0.50,0.80,70,5.10,111.40
0.50,0.90,60,13.70,100.70
0.50,1.00,69,28.10,38.30
0.60,0.00,93,0.40,0.50
0.60,0.10,91,1.00,6.90
0.60,0.20,85,1.50,20.70
0.60,0.30,89,1.80,25.80
0.60,0.40,87,0.90,48.70
0.60,0.50,73,1.60,55.40
0.60,0.60,70,16.60,76.20
0.60,0.70,69,22.20,87.20
0.60,0.80,60,22.10,96.40
0.60,0.90,58,48.40,72.10
0.60,1.00,48,62.80,94.80
0.70,0.00,91,0.20,0.50
0.70,0.10,93,2.30,5.60
0.70,0.20,87,1.80,28.50
0.70,0.30,91,2.00,26.20
0.70,0.40,91,1.90,32.00
0.70,0.50,75,12.40,62.20
0.70,0.60,73,16.10,92.40
0.70,0.70,64,38.70,67.90
0.70,0.80,65,57.30,61.40
0.70,0.90,50,73.60,53.20
0.70,1.00,48,75.80,109.90
0.80,0.00,91,0.80,0.60
0.80,0.10,93,1.30,7.30
0.80,0.20,89,1.50,23.30
0.80,0.30,80,3.80,52.90
0.80,0.40,88,1.40,44.50
0.80,0.50,66,9.00,98.50
0.80,0.60,63,24.20,95.00
0.80,0.70,48,63.50,93.40
0.80,0.80,42,87.10,127.70
0.80,0.90,43,67.50,96.20
0.80,1.00,43,107.80,104.80
0.90,0.00,92,0.80,0.60
0.90,0.10,93,1.30,12.00
0.90,0.20,83,2.80,28.80
0.90,0.30,82,1.20,61.30
0.90,0.40,79,3.50,71.10
0.90,0.50,61,6.40,60.90
0.90,0.60,50,57.00,70.70
0.90,0.70,51,82.80,72.20
0.90,0.80,40,107.70,114.70
0.90,0.90,32,141.30,115.90
0.90,1.00,33,138.10,114.30
1.00,0.00,93,0.90,0.30
1.00,0.10,93,1.90,16.00
1.00,0.20,89,2.10,22.30
1.00,0.30,77,2.50,77.70
1.00,0.40,64,36.90,80.40
1.00,0.50,52,16.50,88.30
1.00,0.60,52,33.90,136.70
1.00,0.70,39,133.90,106.20
1.00,0.80,34,95.60,104.40
1.00,0.90,34,68.50,102.80
1.00,1.00,35,96.40,85.90
