SuccessRate Apha Gamma
94 0.0864 0.0704
90 0.0864 0.0574
88 0.0864 0.0468
95 0.0864 0.0382
90 0.0864 0.0311
90 0.0864 0.0254
98 0.0864 0.0207
96 0.0864 0.0169
94 0.0704 1.0000
96 0.0704 0.8154
94 0.0704 0.6648
97 0.0704 0.5421
94 0.0704 0.4420
92 0.0704 0.3604
90 0.0704 0.2939
95 0.0704 0.2396
92 0.0704 0.1954
93 0.0704 0.1593
92 0.0704 0.1299
89 0.0704 0.1059
87 0.0704 0.0864
95 0.0704 0.0704
97 0.0704 0.0574
91 0.0704 0.0468
91 0.0704 0.0382
94 0.0704 0.0311
96 0.0704 0.0254
96 0.0704 0.0207
87 0.0704 0.0169
94 0.0574 1.0000
95 0.0574 0.8154
92 0.0574 0.6648
94 0.0574 0.5421
94 0.0574 0.4420
97 0.0574 0.3604
90 0.0574 0.2939
94 0.0574 0.2396
95 0.0574 0.1954
93 0.0574 0.1593
97 0.0574 0.1299
89 0.0574 0.1059
90 0.0574 0.0864
94 0.0574 0.0704
94 0.0574 0.0574
92 0.0574 0.0468
89 0.0574 0.0382
89 0.0574 0.0311
94 0.0574 0.0254
94 0.0574 0.0207
88 0.0574 0.0169
91 0.0468 1.0000
95 0.0468 0.8154
93 0.0468 0.6648
96 0.0468 0.5421
93 0.0468 0.4420
91 0.0468 0.3604
95 0.0468 0.2939
94 0.0468 0.2396
96 0.0468 0.1954
90 0.0468 0.1593
94 0.0468 0.1299
92 0.0468 0.1059
92 0.0468 0.0864
97 0.0468 0.0704
91 0.0468 0.0574
90 0.0468 0.0468
90 0.0468 0.0382
89 0.0468 0.0311
96 0.0468 0.0254
94 0.0468 0.0207
92 0.0468 0.0169
89 0.0382 1.0000
94 0.0382 0.8154
94 0.0382 0.6648
98 0.0382 0.5421
94 0.0382 0.4420
94 0.0382 0.3604
90 0.0382 0.2939
93 0.0382 0.2396
96 0.0382 0.1954
89 0.0382 0.1593
94 0.0382 0.1299
93 0.0382 0.1059
93 0.0382 0.0864
97 0.0382 0.0704
90 0.0382 0.0574
93 0.0382 0.0468
95 0.0382 0.0382
94 0.0382 0.0311
88 0.0382 0.0254
91 0.0382 0.0207
93 0.0382 0.0169
94 0.0311 1.0000
96 0.0311 0.8154
95 0.0311 0.6648
96 0.0311 0.5421
94 0.0311 0.4420
92 0.0311 0.3604
91 0.0311 0.2939
93 0.0311 0.2396
92 0.0311 0.1954
